Sheet,nome,status,Answer-status,Name,Answer-Name,Address,A - Address,Address Wrong,Address Wrong,Address Wrong-Word Missing,Address Wrong-Word Missing,Address Wrong-Minor Mistake,Address Wrong-Minor Mistake,Address Wrong-Major Mistake,Address Wrong-Major Mistake,Category,A - Category,Business Hour,A - Business Hour,Tel,A - Tel,Final result,"After Appeal
(Rodrigo)",APPEAL,Reason
Day3,"Rádio Gospel CampinasRua Isaura Aparecida Contarelli, Núcleo Habitacional Lech Walesa, Campinas, Campinas, Região Imediata de Campinas, Região Metropolitana de Campinas, Região Geográfica Intermediária de Campinas, São Paulo, Região Sudeste, 13054-412, BrasilopenOffice and Industrial, Radio Broadcaster",Correct,UV,Correct,Correct,UV,Wrong,null,"[""Minor Mistake"",""Word Missing"",""Major Mistake""]",null,"[""Missing House Number""]",null,"[""Repetition"",""Other Information"",""Misspell""]",null,"[""Wrong Province/City/District/Town""]",Correct,Correct,Correct,Correct,Correct,Correct,Fail,Right,Yes,"Status,Address"
Day3,"AMPLA CONTAINERSRua Braz Cubas, Centro, Santos, Santos, Região Imediata de Santos, Região Metropolitana da Baixada Santista, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 11013-925, BrasilopenService, Transportation Service",UV,UV,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Word Missing""]","[""Word Missing"",""Minor Mistake""]","[""Missing House Number""]","[""Missing House Number""]","[""Other Information"",""Repetition""]","[""Repetition"",""Other Information""]",null,null,Correct,Correct,UV,UV,Correct,Correct,Fail,Right,Yes,Address
Day3,"Frizon AdvocaciaRua Coronel Aparício Mariense, Centro, Nhú-Porã, São Borja, Região Geográfica Imediata de São Borja, Região Geográfica Intermediária de Uruguaiana, Rio Grande do Sul, Região Sul, 97670-000, BrasilopenService, Legal Service",UV,UV,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Word Missing""]","[""Minor Mistake"",""Word Missing""]","[""Missing House Number""]","[""Missing House Number""]","[""Other Information""]","[""Other Information""]",null,null,Correct,Correct,UV,UV,Correct,Correct,Right,Right,No,
Day3,"Dsg Farma São Joaquim da Barra1159, Rua São Paulo, João Paulo II, São Joaquim da Barra, São Joaquim da Barra, Região Imediata de São Joaquim da Barra-Orlândia, Região Geográfica Intermediária de Ribeirão Preto, São Paulo, Região Sudeste, 14600-000, BrasilopenHealth, Health and Medicine Store, Pharmacy",Correct,Correct,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Major Mistake""]","[""Minor Mistake"",""Major Mistake""]",null,null,"[""Repetition"",""Other Information""]","[""Repetition"",""Other Information""]","[""Wrong House Number"",""Wrong Province/City/District/Town""]","[""Wrong House Number""]",Correct,Correct,Wrong,UV,Correct,Correct,Fail,Right,Yes,"Address,BH"
Day3,"HIDRONEWS REDENTORATravessa Inácio Egea, Vila Bancária, São José do Rio Preto, São José do Rio Preto, Região Imediata de São José do Rio Preto, Região Geográfica Intermediária de São José do Rio Preto, São Paulo, Região Sudeste, 15015-205, BrasilopenShopping, Sporting Goods Store, Swimming Pool Supply Store",UV,UV,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Major Mistake"",""Word Missing""]","[""Word Missing"",""Minor Mistake"",""Major Mistake""]","[""Missing House Number""]","[""Missing House Number""]","[""Repetition"",""Other Information""]","[""Repetition"",""Other Information""]","[""Wrong Road Name""]","[""Wrong Road Name""]",Correct,Correct,UV,UV,Correct,Correct,Fail,Right,Yes,Address
Day3,"Church Universal White Sand 2Avenida Progresso, Areia Branca, Salvador, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 43700000, BrasilopenReligion, Church",Correct,Correct,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Major Mistake"",""Word Missing""]","[""Word Missing"",""Minor Mistake"",""Major Mistake""]","[""Missing House Number""]","[""Missing House Number"",""Missing Floor/Room Number""]","[""Other Information"",""Repetition""]","[""Repetition"",""Other Information""]","[""Wrong Road Name"",""Wrong Province/City/District/Town""]","[""Wrong Province/City/District/Town"",""Wrong Road Name""]",Correct,Correct,UV,UV,Correct,UV,Fail,Right,Yes,"Address,Tel"
Day3,"Marf Ferro e AçoRua Bom Jesus da Cachoeira, Parque Edu Chaves, Jaçanã, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 02236-020, BrasilopenOffice and Industrial, Company",UV,UV,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Word Missing""]","[""Word Missing"",""Minor Mistake""]","[""Missing House Number""]","[""Missing House Number""]","[""Other Information""]","[""Other Information""]",null,null,Correct,Correct,Wrong,Wrong,Correct,Correct,Fail,Right,Yes,Address
Day3,"Network Plus SupermarketsRua Thomaz Antônio Villani, 135, Rua Thomaz Antônio Vilani, Cachoeirinha, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 02562-010, BrasilopenShopping, Supermarket",Correct,Correct,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Major Mistake""]","[""Major Mistake"",""Minor Mistake""]",null,null,"[""Other Information""]","[""Repetition"",""Other Information""]","[""Wrong House Number"",""Wrong Province/City/District/Town""]","[""Wrong Province/City/District/Town"",""Wrong House Number""]",Correct,Correct,UV,UV,Correct,Correct,Fail,Fail,No,
Day3,"DIP CORE BRASIL LTDA EPPRua Ludgero Dolabela, Gutierrez, Gutierrez, Regional Oeste, Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 30441-036, BrasilopenOffice and Industrial, Company",UV,UV,Wrong,Wrong,Wrong,Wrong,"[""Word Missing"",""Minor Mistake""]","[""Word Missing"",""Minor Mistake""]","[""Missing House Number"",""Missing Floor/Room Number""]","[""Missing House Number"",""Missing Floor/Room Number""]","[""Other Information"",""Repetition""]","[""Repetition"",""Other Information""]",null,null,Correct,Correct,UV,UV,Correct,Correct,Fail,Right,Yes,Address
Day3,"UbaSurf MotorsUbatuba, Sao Paulo, BrazilopenShopping, Sporting Goods Store, Bicycle Store",null,UV,null,Correct,null,Wrong,null,"[""Word Missing""]",null,"[""Missing Road Name"",""Missing House Number""]",null,null,null,null,null,Correct,null,Correct,null,Correct,Fail,TBD,Yes,"Status,Name,Address,Catergory,BH,Tel"
Day3,"Happy Pizza UberabaAvenida Leopoldino de Oliveira, Vila Frei Eugênio, Uberaba, Região Geográfica Imediata de Uberaba, Região Geográfica Intermediária de Uberaba, Minas Gerais, Região Sudeste, 38015-400, BrasilopenFood and Drink, Restaurant, Pizza Restaurant",Correct,Correct,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Word Missing"",""Major Mistake""]","[""Word Missing"",""Minor Mistake"",""Major Mistake""]","[""Missing House Number""]","[""Missing House Number""]","[""Other Information""]","[""Other Information""]","[""Wrong Province/City/District/Town""]","[""Wrong Province/City/District/Town""]",Correct,Correct,Correct,Correct,Correct,Correct,Fail,Right,Yes,Address
Day3,"Aulas Particulares de Inglês e PortuguêsRua Henrique Dumont, Rua Henrique Dumont, Jardim Paulista, Ribeirão Preto, Ribeirão Preto, Região Imediata de Ribeirão Preto, Região Metropolitana de Ribeirão Preto, Região Geográfica Intermediária de Ribeirão Preto, São Paulo, Região Sudeste, 14090-200, Brasil0Education, Tutoring Service",UV,UV,UV,Correct,UV,Wrong,null,"[""Word Missing"",""Minor Mistake""]",null,"[""Missing Floor/Room Number"",""Missing House Number""]",null,"[""Repetition"",""Other Information""]",null,null,UV,Correct,UV,UV,UV,Correct,Fail,Fail,Yes,"Name,Address"
Day3,"Marisa Bússolo Corretora de Imóveis508, Avenida Luiz de Camões, Coral, Lages, Região Geográfica Imediata de Lages, Região Geográfica Intermediária de Lages, Santa Catarina, 88523-000, BrasilopenService, Real Estate Service, Real Estate Agency",UV,UV,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Major Mistake""]","[""Minor Mistake"",""Major Mistake""]",null,null,"[""Other Information""]","[""Other Information""]","[""Wrong House Number""]","[""Wrong House Number""]",Correct,Correct,Correct,UV,Correct,Correct,Fail,Fail,Yes,BH
Day3,"Vi'LaVi Escola de ConfeitariaPiracicaba, Sao Paulo, BrazilopenEducation, School",UV,UV,Correct,Correct,Wrong,Wrong,"[""Word Missing""]","[""Word Missing""]","[""Missing House Number"",""Missing Road Name"",""Missing Province/City/District/Town""]","[""Missing Province/City/District/Town"",""Missing Road Name"",""Missing House Number""]",null,null,null,null,Correct,Correct,Correct,UV,Correct,Correct,Fail,Right,Yes,BH
Day3,"Makmetal serralheria e calhas em geralSao Jose dos Pinhais, Parana, BrazilopenOffice and Industrial, Company",UV,UV,Wrong,Correct,Wrong,Wrong,"[""Word Missing""]","[""Word Missing""]","[""Missing Road Name"",""Missing House Number""]","[""Missing Road Name"",""Missing House Number""]",null,null,null,null,Correct,Correct,Wrong,Wrong,Correct,Correct,Fail,Right,Yes,"Name,Address"
Day3,"Templo Umbamdista Vovó Cambinda das AlmasRua Manuel Duarte, Porto Velho, São Gonçalo, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 24431-005, BrasilopenReligion",UV,UV,Wrong,Wrong,Wrong,Wrong,"[""Minor Mistake"",""Word Missing""]","[""Word Missing"",""Minor Mistake""]","[""Missing House Number""]","[""Missing House Number""]","[""Misspell"",""Other Information""]","[""Other Information""]",null,null,Correct,Correct,Correct,Correct,Correct,Correct,Fail,Right,Yes,Address
Day3,"Cacau ShowTravessa Boulevard Manoel Aguiar Rivero, Jardim Professor Francisco Morato, Centro, Francisco Morato, Francisco Morato, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, BrasilopenShopping, Food and Beverage Retail, Chocolate Store",Correct,UV,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Major Mistake"",""Word Missing""]","[""Word Missing"",""Minor Mistake"",""Major Mistake""]","[""Missing House Number""]","[""Missing House Number""]","[""Repetition"",""Other Information""]","[""Repetition"",""Other Information""]","[""Wrong Road Name""]","[""Wrong Road Name""]",Correct,Correct,Correct,Correct,Correct,Correct,Fail,Right,Yes,"Status,Address"
Day3,"Auto School Brasiliense South TaguatingaFederal District, Federal District, BrazilopenEducation, Driving School",Correct,Correct,Correct,Correct,Wrong,Wrong,"[""Word Missing"",""Minor Mistake""]","[""Word Missing"",""Minor Mistake""]","[""Missing Road Name"",""Missing House Number"",""Missing Floor/Room Number"",""Missing Province/City/District/Town""]","[""Missing Province/City/District/Town"",""Missing Road Name"",""Missing House Number"",""Missing Floor/Room Number""]","[""Repetition""]","[""Repetition""]",null,null,Correct,Correct,Correct,UV,Correct,Correct,Fail,Fail,Yes,"Address,BH"
Day3,"Congregação Cristã no Brasil - Jardim Bela VistaRua Maria do Carmo Melo, Jardim Bela Vista, Itapeva, Itapeva, Região Imediata de Itapeva, Região Geográfica Intermediária de Sorocaba, São Paulo, Região Sudeste, 184121-30, BrasilopenReligion, Church, Christian Church",Correct,Correct,Correct,Correct,Wrong,Wrong,"[""Word Missing"",""Minor Mistake""]","[""Word Missing"",""Minor Mistake"",""Major Mistake""]","[""Missing House Number""]","[""Missing House Number""]","[""Other Information"",""Repetition""]","[""Repetition"",""Other Information""]",null,"[""Wrong Province/City/District/Town"",""Wrong Road Name""]",Correct,Correct,UV,UV,UV,UV,Fail,Right,Yes,Address
Day3,"Centro Odontológico Sorrir BemRua Antunes Ribas, Cohab, Santo Ângelo, Santo Ângelo, Região Geográfica Imediata de Santo Ângelo, Região Geográfica Intermediária de Ijui, Rio Grande do Sul, Região Sul, 98803-230, BrasilopenHealth, Clinic, Dentist",UV,UV,Correct,Correct,Wrong,Wrong,"[""Word Missing"",""Minor Mistake"",""Major Mistake""]","[""Word Missing"",""Major Mistake"",""Minor Mistake""]","[""Missing House Number""]","[""Missing House Number""]","[""Other Information"",""Repetition""]","[""Repetition"",""Other Information""]","[""Wrong Province/City/District/Town""]","[""Wrong Province/City/District/Town""]",Correct,Correct,Correct,UV,Correct,UV,Fail,Right,Yes,"Address,BH,Tel"
Day3,"Cartão de Todos - Nova IguaçuRua Coronel Bernardino de Melo - 2201, Rua Coronel Bernardino de Melo, Centro, Nova Iguaçu, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 26210-000, BrasilopenOffice and Industrial, Company",UV,UV,Correct,Correct,Wrong,Wrong,"[""Word Missing"",""Minor Mistake""]","[""Word Missing"",""Minor Mistake""]","[""Missing Floor/Room Number""]","[""Missing Floor/Room Number""]","[""Repetition"",""Other Information""]","[""Repetition"",""Other Information""]",null,null,Correct,Correct,Wrong,Wrong,Correct,Correct,Right,TBD,Yes,"Status,Address"
Day3,"VTA FERRAMENTASNovo São Joaquim, Região Geográfica Imediata de Barra do Garças, Região Geográfica Intermediária de Barra do Garças, Mato Grosso, Região Centro-Oeste, BrasilopenShopping, Construction Supplies Store, Hardware Store",Wrong,UV,Correct,Correct,Wrong,Wrong,"[""Word Missing"",""Minor Mistake"",""Major Mistake""]","[""Word Missing"",""Minor Mistake"",""Major Mistake""]","[""Missing Province/City/District/Town"",""Missing Road Name"",""Missing House Number""]","[""Missing Province/City/District/Town"",""Missing Road Name"",""Missing House Number""]","[""Other Information""]","[""Other Information""]","[""Wrong Province/City/District/Town""]","[""Wrong Province/City/District/Town""]",Correct,Correct,null,UV,Correct,Correct,Fail,Fail,Yes,"Status,Address"
Day3,"AL. Game CellAvenida Automóvel Clube, Redentor, Belford Roxo, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 26196030, BrasilopenOther POI",UV,UV,Correct,Correct,UV,UV,null,null,null,null,null,null,null,null,Wrong,Wrong,Correct,UV,Correct,Correct,Fail,Fail,No,
Day3,"Selma Teixeira de MirandaAvenida Engenheiro Assis Ribeiro, Marechal Hermes, Zona Norte do Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 21610-210, BrasilopenHealth, Mental Health Service, Psychologist",Correct,Correct,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Word Missing"",""Major Mistake""]","[""Word Missing"",""Minor Mistake"",""Major Mistake""]","[""Missing Floor/Room Number"",""Missing House Number""]","[""Missing House Number"",""Missing Floor/Room Number""]","[""Other Information""]","[""Other Information""]","[""Wrong Road Name""]","[""Wrong Road Name""]",Correct,Correct,UV,UV,Correct,Correct,Fail,Right,Yes,Address
Day3,"Clínica Saúde PopularRua Bartolomeu de Gusmão, Canudos, Novo Hamburgo, Novo Hamburgo, Região Geográfica Imediata de Novo Hamburgo - São Leopoldo, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, 93542-030, BrasilopenHealth, Clinic",Correct,UV,Correct,Correct,Wrong,Wrong,"[""Word Missing"",""Minor Mistake""]","[""Word Missing"",""Minor Mistake""]","[""Missing House Number""]","[""Missing House Number""]","[""Repetition"",""Other Information""]","[""Repetition"",""Other Information""]",null,null,Correct,Correct,Correct,Correct,Correct,Correct,Fail,Right,Yes,"Status,Address"
Day3,"Tork MultimarcasAlinhaMix, 80, Rua Monsenhor João Rodrigues, Industrial 3ª Seção, Industrial, Contagem, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 32220-460, BrasilopenShopping, Automotive Retail",UV,Correct,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Major Mistake""]","[""Minor Mistake"",""Major Mistake""]",null,null,"[""Other Information""]","[""Other Information""]","[""Wrong House Number""]","[""Wrong Province/City/District/Town"",""Wrong House Number""]",Correct,Correct,UV,UV,Correct,Correct,Fail,Right,Yes,"Status,Address"
Day3,"Serraluga - Locação de EquipamentosParque Petrópolis Paulista, Roseira, Mairiporã, Mairiporã, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 07726-620, BrasilopenService",Correct,Correct,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Word Missing"",""Major Mistake""]","[""Word Missing"",""Minor Mistake"",""Major Mistake""]","[""Missing House Number"",""Missing Road Name""]","[""Missing Road Name"",""Missing House Number""]","[""Other Information"",""Repetition""]","[""Repetition"",""Other Information""]","[""Wrong Province/City/District/Town""]","[""Wrong Province/City/District/Town""]",Correct,Correct,Wrong,Wrong,Correct,Correct,Fail,Right,Yes,Address
Day3,"Papelaria Cheia de BrilhoRua Caçapava, Baeta Neves, São Bernardo do Campo, São Bernardo do Campo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 09751-185, BrasilopenShopping, Office Supply Store, Stationery Store",UV,UV,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Word Missing""]","[""Word Missing"",""Minor Mistake""]","[""Missing House Number""]","[""Missing House Number""]","[""Other Information"",""Repetition""]","[""Repetition"",""Other Information""]",null,null,Correct,Correct,UV,UV,Correct,Correct,Fail,Right,Yes,Address
Day3,"Odontoclinic MaríliaRua Sergipe, Santa Alice, Pozzobon, Votuporanga, Votuporanga, Região Imediata de Votuporanga, Região Geográfica Intermediária de São José do Rio Preto, São Paulo, Região Sudeste, 15.500-006, BrasilopenHealth, Clinic, Dentist",Correct,Correct,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Major Mistake"",""Word Missing""]","[""Word Missing"",""Minor Mistake"",""Major Mistake""]","[""Missing House Number""]","[""Missing House Number""]","[""Other Information"",""Repetition""]","[""Repetition"",""Other Information""]","[""Wrong Road Name"",""Wrong Province/City/District/Town""]","[""Wrong Province/City/District/Town"",""Wrong Road Name""]",Correct,Correct,Correct,Correct,Correct,Correct,Fail,Right,Yes,Address
Day3,"Mainhardt265, Rua Tibagi, Centro, Curitiba, Região Geográfica Imediata de Curitiba, Região Metropolitana de Curitiba, Região Geográfica Intermediária de Curitiba, Paraná, Região Sul, 80060-110, BrasilopenOffice and Industrial, Company, Business Management Consultant",UV,UV,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Major Mistake"",""Word Missing""]","[""Word Missing"",""Minor Mistake"",""Major Mistake""]","[""Missing Floor/Room Number""]","[""Missing Floor/Room Number""]","[""Other Information""]","[""Other Information""]","[""Wrong Road Name"",""Wrong House Number"",""Wrong Province/City/District/Town""]","[""Wrong Province/City/District/Town"",""Wrong Road Name"",""Wrong House Number""]",Correct,Correct,UV,UV,UV,UV,Fail,Right,Yes,Address
Practice 1,"Larissa Martins - Advogada CriminalClaudio, Minas Gerais, BrazilopenService, Legal Service, Law Office",UV,Correct,Correct,Correct,Wrong,Wrong,"[""Word Missing""]","[""Word Missing""]","[""Missing Road Name"",""Missing House Number"",""Missing Floor/Room Number""]","[""Missing Province/City/District/Town"",""Missing Road Name"",""Missing House Number"",""Missing Floor/Room Number""]",null,null,null,null,Correct,Correct,Correct,Correct,Correct,Correct,Fail,Right,Yes,"Status,Address"
Practice 1,"Embalagens Vip268, Rua Conselheiro Dantas, Canindé, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 03032-020, BrasilopenOther POI",UV,UV,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Major Mistake""]","[""Major Mistake"",""Minor Mistake""]",null,null,"[""Other Information""]","[""Other Information"",""Repetition""]","[""Wrong House Number""]","[""Wrong House Number""]",Wrong,Wrong,Wrong,Wrong,Correct,Correct,Fail,Right,Yes,Address
Practice 1,"Churrascaria e Pizzaria Q' DeliciaRua da Independência, Paripe, Salvador, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40800-570, BrasilopenFood and Drink, Restaurant, Barbecue Restaurant",Correct,Correct,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Major Mistake""]","[""Minor Mistake"",""Major Mistake""]",null,null,"[""Repetition"",""Other Information""]","[""Other Information"",""Repetition""]","[""Wrong Road Name""]","[""Wrong Road Name""]",Correct,Correct,Correct,Correct,Correct,Correct,Fail,Right,Yes,Address
Practice 1,"Barangandan FestasEstação SESC-Pompéia, Rua Venâncio Aires, Pompéia, Perdizes, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 05022-000, BrasilopenOther POI",null,null,Wrong,Wrong,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Right,Right,No,
Practice 1,"Persianas Nety LtdaVila do Pinheiro, Flamengo, Zona Sul do Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22220-050, BrasilopenService, Home Improvement Service, Doors and Windows Service, Blinds Shop",UV,UV,Correct,Correct,Wrong,Wrong,"[""Word Missing"",""Minor Mistake""]","[""Minor Mistake"",""Word Missing""]","[""Missing Road Name"",""Missing House Number"",""Missing Floor/Room Number""]","[""Missing Road Name"",""Missing House Number"",""Missing Floor/Room Number""]","[""Other Information""]","[""Other Information""]",null,null,Correct,Correct,UV,UV,Correct,Correct,Fail,Right,Yes,Address
Practice 1,"Marcelo Tattoo Studio80, Rua Barão de Tramandaí, Vila Alpina, Vila Prudente, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 03207-000, BrasilopenService, Health and Beauty Service, Tattoo Shop",Correct,UV,Correct,Correct,Wrong,UV,"[""Minor Mistake"",""Major Mistake""]",null,null,null,"[""Other Information""]",null,"[""Wrong House Number""]",null,Correct,Correct,Correct,UV,Correct,UV,Fail,Right,Yes,"Status,Address,BH,Tel"
Practice 1,"É Mais ComunicaçãoRua Barão de Melgaço, Do Porto, Cuiabá, Região Geográfica Imediata de Cuiabá, Região Geográfica Intermediária de Cuiabá, Mato Grosso, Região Centro-Oeste, 78030-970, BrasilopenOffice and Industrial, Company, Advertising Agency",UV,UV,Correct,Correct,Wrong,Wrong,"[""Minor Mistake"",""Word Missing"",""Major Mistake""]","[""Minor Mistake"",""Word Missing""]","[""Missing House Number""]","[""Missing House Number""]","[""Other Information""]","[""Other Information""]","[""Wrong Province/City/District/Town""]",null,Correct,Correct,Correct,UV,Correct,Correct,Fail,Right,Yes,"Address,BH"
Practice 1,"Amadeirado Móveis e DecoraçãoEstrada União e Indústria, Benfica, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25745-071, BrasilopenOther POI",UV,UV,UV,UV,UV,UV,null,null,null,null,null,null,null,null,UV,UV,UV,UV,UV,UV,Right,Right,No,
Practice 1,"REL Soluções em TIItaquaquecetuba, Sao Paulo, BrazilopenOffice and Industrial, Technology Business, IT Service",UV,UV,Correct,Correct,Wrong,Wrong,"[""Word Missing""]","[""Word Missing""]","[""Missing Road Name"",""Missing House Number"",""Missing Province/City/District/Town""]","[""Missing Road Name"",""Missing House Number"",""Missing Floor/Room Number""]",null,null,null,null,Correct,Correct,Wrong,Wrong,Correct,Correct,Fail,Right,Yes,Address
